M  error
2.0  0.07048700881896608
6.0  0.007330778491797418
10.0  0.0026255497823847174
14.0  0.0013376755167405774
18.0  8.087412807441519E-4
22.0  5.41229708968638E-4
26.0  3.87442179994979E-4
30.0  2.9098127566529186E-4
34.0  2.2652646620191508E-4
38.0  1.8133766432515408E-4
42.0  1.4843657403296184E-4
46.0  1.237405518508261E-4
50.0  1.0473181437098411E-4
54.0  8.978917509494533E-5
58.0  7.78304970783239E-5
62.0  6.811108073612182E-5
66.0  6.0104841523744845E-5
70.0  5.3431585451568786E-5
74.0  4.7811020959631634E-5
78.0  4.303283618078968E-5
82.0  3.893673352406424E-5
86.0  3.539880716407762E-5
90.0  3.2322060753764426E-5
94.0  2.9629687310683828E-5
98.0  2.726022855026322E-5
102.0  2.5164036099978304E-5
106.0  2.3300649269142326E-5
110.0  2.1636827788218405E-5
114.0  2.0145059003606747E-5
118.0  1.8802413122687156E-5
122.0  1.7589656759908756E-5
126.0  1.6490560268422882E-5
130.0  1.5491351904595163E-5
134.0  1.4580284301568547E-5
138.0  1.3747287604060077E-5
142.0  1.2983690008128157E-5
146.0  1.2281991149110105E-5
150.0  1.1635677212629147E-5
154.0  1.1039069216067787E-5
158.0  1.0487197831698936E-5
162.0  9.97569956695532E-6
166.0  9.500730247635758E-6
170.0  9.05889257851733E-6
174.0  8.647175221199177E-6
178.0  8.262901350697405E-6
182.0  7.90368503145178E-6
186.0  7.567394097018898E-6
190.0  7.252118432554688E-6
194.0  6.956142794334319E-6
198.0  6.67792342934348E-6
202.0  6.416067903747269E-6
206.0  6.1693176480748235E-6
210.0  5.936532805228545E-6
214.0  5.716679042588879E-6
218.0  5.508816042332221E-6
222.0  5.312087431041945E-6
226.0  5.125711945663802E-6
230.0  4.948975660279409E-6
234.0  4.7812251467993505E-6
238.0  4.6218614202508945E-6
242.0  4.470334584505409E-6
246.0  4.326139089405601E-6
250.0  4.188809498373303E-6
254.0  4.057916733080091E-6
258.0  3.933064719574553E-6
262.0  3.8138873853510447E-6
266.0  3.7000459740532676E-6
270.0  3.5912266330706544E-6
274.0  3.4871382542656093E-6
278.0  3.387510518870762E-6
282.0  3.292092141893299E-6
286.0  3.2006492878267068E-6
290.0  3.1129641366867133E-6
294.0  3.0288335840511493E-6
298.0  2.9480680646676305E-6
